,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
0,273,41,815,1776,1.1305841924398625,1.67547607421875,933
1,263,35,726,1702,1.174721189591078,-32.33123779296875,870
2,270,42,929,1735,1.1423611111111112,-61.125,964
3,267,31,794,1655,1.0641891891891893,-44.52703857421875,857
4,305,21,946,1914,0.9967105263157895,-19.647705078125,868
5,254,39,802,1720,1.199288256227758,-23.46044921875,950
6,285,32,1162,1810,1.276978417266187,-87.2872314453125,1073
7,281,23,954,1850,1.2350877192982457,11.400390625,1010
8,266,36,995,1777,1.044776119402985,46.96832275390625,1065
9,278,23,702,1811,1.0678571428571428,24.77496337890625,824
10,265,32,882,1780,1.1399317406143346,32.85498046875,994
11,256,28,701,1733,1.126865671641791,13.47540283203125,866
12,291,36,1037,1814,1.1452702702702702,-44.3231201171875,986
13,274,26,1116,1861,1.1847133757961783,-38.989013671875,1045
14,266,22,896,1709,1.3650190114068441,-33.1029052734375,1007
15,278,38,924,1740,1.127147766323024,34.59136962890625,1033
16,270,26,779,1694,1.170909090909091,-4.95123291015625,908
17,270,34,969,1766,1.2463768115942029,-28.8677978515625,1028
18,266,31,760,1748,1.1204379562043796,-13.68133544921875,874
19,277,32,908,1794,1.1353135313531353,26.937744140625,999
20,275,28,714,1780,1.0304054054054055,28.33331298828125,837
21,254,24,746,1680,1.2037735849056603,-33.48809814453125,880
22,267,23,792,1653,1.2282608695652173,33.22430419921875,978
23,301,26,915,1959,1.0402930402930404,-75.6236572265625,827
24,277,33,965,1755,1.215547703180212,-10.6417236328125,1030
25,263,32,675,1630,1.2343096234309623,-7.8421630859375,885
26,266,30,1073,1825,1.2691029900332227,20.9810791015625,1130
27,275,36,793,1795,1.1535714285714285,2.95819091796875,912
28,278,25,782,1745,1.208,-46.45294189453125,864
29,271,33,882,1818,1.187725631768953,-7.2138671875,965
30,262,21,715,1881,1.042857142857143,-21.92236328125,777
31,273,47,947,1760,1.2448979591836735,3.026611328125,1063
32,269,37,665,1675,1.1951219512195121,1.30499267578125,870
33,280,27,879,1852,1.1283783783783783,41.40777587890625,966
34,265,20,675,1785,1.0780669144981412,9.89410400390625,806
35,284,30,884,1791,1.274247491638796,114.072265625,1096
36,236,20,695,1685,1.2669322709163346,-5.9278564453125,895
37,295,30,1218,1850,1.2923076923076924,45.4407958984375,1214
38,284,30,719,1737,1.0037037037037038,-12.49481201171875,790
39,275,26,881,1743,1.21602787456446,25.72637939453125,1002
40,250,25,575,1744,1.0428015564202335,3.4775390625,748
41,258,44,876,1679,1.157190635451505,14.56787109375,1043
42,293,19,850,1836,1.182509505703422,-42.13909912109375,864
43,269,24,865,1730,1.084375,46.8294677734375,969
44,272,33,958,1762,1.1868852459016392,57.814208984375,1095
45,256,21,667,1669,1.0223880597014925,-15.5045166015625,770
46,260,29,706,1740,1.088235294117647,0.84033203125,840
47,237,31,847,1709,1.2545454545454546,11.24261474609375,1028
48,295,39,1013,1879,1.2313167259786477,-13.9117431640625,1021
49,255,40,856,1674,1.381132075471698,17.0582275390625,1061
50,287,39,1095,1779,1.2267080745341614,20.5684814453125,1139
51,279,35,834,1844,1.1172413793103448,8.080810546875,922
52,255,35,727,1637,1.2276119402985075,54.3192138671875,995
53,268,24,986,1754,1.217687074829932,1.37939453125,1047
54,265,31,773,1704,1.1326164874551972,-24.47833251953125,885
55,283,33,1400,1840,1.2066115702479339,118.4986572265625,1379
56,282,26,674,1783,1.03515625,-30.1148681640625,750
57,253,28,884,1748,1.099337748344371,6.12738037109375,970
58,267,40,988,1703,1.1856677524429968,-9.4630126953125,1068
59,286,35,952,1852,1.1146496815286624,44.331298828125,1012
60,249,26,566,1609,1.0871369294605808,-17.94036865234375,754
61,248,33,717,1709,1.0996563573883162,57.22637939453125,926
62,270,27,717,1835,1.063157894736842,11.70037841796875,827
63,264,43,802,1679,1.2324723247232472,-43.66748046875,940
64,267,28,988,1742,1.261168384879725,58.5274658203125,1133
65,264,32,662,1698,1.16796875,-8.786865234375,843
66,248,28,807,1671,1.1875,54.5546875,1021
67,284,26,1053,1850,1.2154882154882154,10.462890625,1061
68,264,27,683,1754,1.007168458781362,0.153076171875,786
69,255,39,749,1619,1.1015037593984962,-66.9461669921875,855
70,274,26,738,1772,1.0443686006825939,3.8231201171875,830
